id,total_registros_preco,menor_preco,maior_preco,preco_medio,variacao_absoluta
4205,10,428.9,640.25,553.63,211.35
4221,10,395.43,599.05,538.71,203.62
28,7,297.57,649.9,484.91,352.33
916,6,579.9,613.35,602.18,33.45
342,6,24.49,30.27,27.38,5.78
82,6,1798.9,2699.5,2339.48,900.60
153,5,129.35,129.44,129.40,0.09
106,5,4499,4499.99,4499.61,0.99
292,5,31.2,31.68,31.43,0.48
223,5,1840.9,1999.9,1904.50,159.00
852,5,1119.9,1299.9,1211.69,180.00
1192,5,37.36,55.7,45.33,18.34
4319,5,429.9,649.13,551.55,219.23
616,5,41.85,42.2,41.97,0.35
25,5,345.75,489.66,412.92,143.91
